Input-outputtabel 2010 in werklijke prijzen (mln euro)																																																																																												
		Landbouw	Bosbouw	Visserij	Winning van aardolie en aardgas	Delfstoffenwinning (geen olie en gas)	Voedingsmiddelenindustrie	Drankenindustrie	Tabaksindustrie	Textiel-, kleding-, lederindustrie	Houtindustrie	Papierindustrie	Grafische industrie	Aardolie-industrie	Chemische industrie	Farmaceutische industrie	Rubber- en kunststofproductindustrie	Bouwmaterialenindustrie	Basismetaalindustrie	Metaalproductenindustrie	Elektrotechnische industrie	Elektrische apparatenindustrie	Machine-industrie	Auto- en aanhangwagenindustrie	Overige transportmiddelenindustrie	Meubelindustrie	Overige industrie	Reparatie en installatie van machines	Energiebedrijven	Waterleidingbedrijven	Riolering, afvalbeheer en sanering	Algemene bouw en projectontwikkeling	Grond-, water-  en wegenbouw	Gespecialiseerde bouw	Autohandel en -reparatie	Groothandel en handelsbemiddeling	Detailhandel (niet in auto's)	Vervoer over land	Vervoer over water	Vervoer door de lucht	Opslag, dienstverlening voor vervoer	Post en koeriers	Logiesverstrekking	Restaurants en cafés	Uitgeverijen	Film, TV en radio	Telecommunicatie	IT-dienstverlening	Diensten op het gebied van informatie	Bankwezen	Verzekeraars en pensioenfondsen	Overige financiële dienstverlening	Verhuur en handel van onroerend goed	Juridische diensten en administratie	Holdings en managementadviesbureaus	Architecten-, ingenieursbureaus e.d.	Research	Reclamewezen en marktonderzoek	Design, fotografie, vertaalbureaus	Veterinaire dienstverlening	Verhuur van roerende goederen	Uitzendbureaus en arbeidsbemiddeling	Reisbureaus, reisorganisatie en -info	Beveiligings- en opsporingsdiensten	Schoonmaakbedrijven, hoveniers e.d.	Overige zakelijke dienstverlening	Openbaar bestuur en overheidsdiensten	Onderwijs	Gezondheidszorg	Verzorging en welzijn	Kunst, cultuur en kansspelen	Sport en recreatie	Ideële, belangen-, hobbyverenigingen	Reparatie van consumentenartikelen	Overige persoonlijke dienstverlening	Huishoudens met personeel	Goederen en diensten n.e.g.	Totaal kolommen 1-76	Uitvoer goederen	Uitvoer diensten	Consumptieve bestedingen door huishoudens	Consumptieve bestedingen IZW huishoudens	Sociale uitkeringen in natura	Individualiseerbaar bestedingen van de overheid	Collectieve consumptie door overheid	Bruto investeringen vaste activa	Verandering in voorraden inclusief kostbaarheden	Handels- en vervoersmarges	Afgedragen minus toegerekende BTW	Cif/fob-correctie en herclassificatie	Cif/fob-herclassificatie	Totaal
20	Elektrotechnische industrie	47	0	0	34	5	115	9	20	5	7	17	17	17	134	15	17	28	121	48	677	35	134	23	57	5	19	9	54	9	53	70	42	134	20	152	29	46	17	7	79	30	29	45	11	8	514	286	18	33	15	6	57	47	96	45	21	11	23	0	22	16	1	1	17	33	147	28	67	64	0	6	0	6	22	0	39	4091	15646	1140	501	0	319	0	0	1512	0	1662	0			24871
21	Elektrische apparatenindustrie	5	0	0	6	1	19	3	1	1	0	3	8	3	24	2	5	15	26	54	37	103	50	40	43	12	34	91	10	0	8	43	3	127	0	45	8	2	0	1	15	0	5	6	0	0	11	7	0	10	3	3	6	10	14	2	1	1	2	0	0	0	0	0	1	4	16	6	12	5	0	4	0	3	2	0	48	1030	2517	671	103	0	0	0	0	452	43	116	0			4932
22	Machine-industrie	246	7	2	16	5	88	13	5	5	27	17	78	29	139	12	28	47	115	262	170	29	1544	63	82	11	15	197	76	4	36	211	44	171	105	194	27	20	5	5	31	1	2	2	26	0	21	1	0	3	0	0	7	4	9	27	5	1	9	0	52	1	1	0	9	1	58	7	11	2	1	8	0	0	4	0	5	4459	11894	231	87	0	2	0	0	3228	666	460	0			21027
23	Auto- en aanhangwagenindustrie	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	5	408	2	0	0	2	0	0	2	10	2	11	169	15	25	16	0	0	2	0	0	1	0	0	3	1	0	1	1	2	0	1	7	4	0	0	0	0	31	1	0	0	1	3	9	2	2	0	1	1	1	0	1	0	0	757	3227	220	833	0	0	0	0	661	77	149	0			5924
24	Overige transportmiddelenindustrie	1	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	10	2	0	11	27	375	2	0	63	0	0	0	1	3	7	4	22	5	21	89	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	1	0	0	0	742	3371	289	342	0	3	0	0	1439	281	63	0			6530
25	Meubelindustrie	8	1	0	1	0	4	0	0	1	11	1	0	3	4	1	1	1	5	1	1	1	1	2	18	147	5	7	4	0	2	15	7	24	0	28	3	3	2	4	2	0	1	3	0	1	1	1	0	0	1	0	11	0	4	0	0	0	0	0	2	0	0	0	1	0	6	1	2	0	0	1	0	3	0	0	3	361	585	49	567	0	0	0	0	1409	177	158	0			3306
26	Overige industrie	112	19	0	3	0	19	1	1	7	8	6	2	2	12	6	2	2	3	8	10	6	8	7	10	9	265	31	6	2	9	27	10	20	6	69	17	9	6	3	6	1	3	4	1	2	5	12	0	10	4	1	51	5	14	8	6	10	5	0	3	13	1	1	12	8	326	60	32	22	13	12	2	0	12	0	14	1422	1429	58	394	0	6	0	2512	66	36	138	0			6061
27	Reparatie en installatie van machines	429	10	15	82	9	273	27	22	10	8	55	39	86	330	32	48	70	248	124	68	52	202	12	406	15	23	766	233	10	95	121	90	229	8	181	47	313	54	593	73	2	21	35	6	0	46	60	1	4	2	1	52	11	36	26	9	6	8	2	117	7	1	1	24	6	162	6	12	10	2	1	0	1	25	0	0	6211	229	876	62	0	0	0	0	362	-3	129	0			7866
28	Energiebedrijven	356	6	8	1011	18	458	22	60	33	31	109	65	228	767	32	121	122	472	154	29	26	75	24	24	19	22	10	2145	52	56	19	24	33	74	431	488	163	4	2	113	9	129	213	11	15	72	28	2	51	26	14	208	36	77	30	24	9	10	6	10	14	12	1	14	17	311	178	98	159	110	111	56	0	56	0	0	10023	440	230	3766	0	7	0	0	1615	0	1691	0			17772
29	Waterleidingbedrijven	32	0	0	2	5	61	4	9	2	0	2	1	10	50	10	5	6	36	4	5	0	5	2	3	0	2	13	27	10	24	3	2	7	3	16	10	4	0	2	0	1	19	10	1	0	0	3	2	6	5	2	12	7	9	1	0	3	2	0	1	4	0	1	0	3	75	17	25	35	2	13	5	1	3	0	0	645	4	7	957	0	0	0	0	83	0	1	0			1697
30	Riolering, afvalbeheer en sanering	365	0	2	5	6	110	8	4	6	5	26	13	22	180	19	60	79	459	35	4	3	25	2	5	5	8	6	33	5	1665	146	82	90	12	66	23	81	9	3	10	2	8	14	3	15	7	8	1	14	7	7	18	8	20	7	6	3	3	2	4	4	4	1	2	3	1638	30	176	87	16	30	6	0	2	0	4	5847	681	130	236	0	0	0	78	31	2	112	0			7117
31	Algemene bouw en projectontwikkeling	95	0	2	3	0	33	7	1	5	2	5	5	4	13	4	6	5	4	26	9	3	30	5	6	4	12	7	42	8	17	3418	592	368	5	100	75	25	4	8	81	3	22	5	3	1	26	2	1	0	0	13	3253	14	25	1244	9	0	1	0	2	3	5	1	4	1	454	255	111	186	16	25	15	1	5	0	0	10745	93	365	50	0	266	0	0	25347	-1	38	0			36903
32	Grond-, water-  en wegenbouw	11	9	1	56	12	3	1	0	0	1	5	1	44	19	0	1	27	2	31	0	1	27	0	7	3	1	10	508	22	4	1048	581	892	4	73	1	10	16	2	302	2	2	3	0	1	80	0	0	0	0	0	74	0	5	346	0	0	0	0	0	0	0	0	0	0	2835	14	5	14	2	14	1	0	2	0	0	7136	48	1278	0	0	0	0	0	6498	2	23	0			14985
33	Gespecialiseerde bouw	193	3	1	11	1	38	5	2	4	3	9	10	9	59	7	7	10	46	25	11	7	25	6	18	44	12	8	87	8	66	8304	2934	3923	20	124	114	45	16	27	247	9	17	19	10	2	131	20	2	0	1	3	3783	11	51	23	7	3	5	0	14	7	2	1	13	4	963	300	109	186	30	71	20	0	9	0	0	22315	56	808	379	0	256	0	0	11535	0	284	0			35633
34	Autohandel en -reparatie	81	4	0	11	1	43	2	2	4	6	4	6	2	10	3	4	8	4	26	4	2	16	10	5	8	5	11	11	3	106	71	53	194	1919	466	120	663	0	1	70	21	4	41	7	5	27	61	3	41	29	42	41	46	127	36	12	22	12	2	1504	28	3	16	19	8	131	60	71	50	36	35	33	7	29	0	0	6568	42	175	4572	0	0	0	0	96	0	4966	0			16419
35	Groothandel en handelsbemiddeling	295	7	3	35	5	499	62	12	31	17	151	39	65	333	86	82	54	235	88	224	49	207	38	41	21	28	30	131	7	165	174	70	183	33	3583	572	59	25	32	90	5	20	60	47	4	40	271	15	15	12	6	36	20	264	25	6	31	24	1	80	11	4	1	18	15	252	22	59	54	8	9	3	4	9	0	6	9318	9706	5546	2903	0	1	0	0	-1938	39	55047	0			80622
36	Detailhandel (niet in auto's)	5	0	0	2	1	12	3	0	3	0	1	1	1	5	2	3	3	4	3	5	3	4	2	0	1	0	3	4	1	3	1	4	10	21	143	282	15	2	0	7	5	4	5	5	1	249	10	0	5	1	3	25	8	33	6	0	3	18	0	25	2	1	1	4	1	7	6	5	0	6	4	3	0	1	0	0	1007	53	419	541	0	5	0	0	207	0	32541	0			34773
37	Vervoer over land	128	0	4	11	1	58	14	5	10	5	7	13	268	60	12	10	12	20	34	25	9	24	26	31	7	12	7	28	0	389	12	6	18	142	1667	123	5436	41	24	66	20	8	12	14	8	22	15	2	21	15	9	14	15	60	10	12	10	6	0	21	13	243	2	3	21	162	50	104	126	3	9	52	6	25	0	0	9878	24	4849	3735	0	572	0	0	380	0	6436	0			25874
38	Vervoer over water	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	1	147	0	274	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	3	5549	182	0	0	0	0	16	0	776	0			7102
39	Vervoer door de lucht	14	3	0	7	0	27	12	3	3	0	5	3	6	14	7	3	4	5	2	11	3	7	1	4	3	2	866	12	0	0	3	3	4	15	90	18	8	7	83	54	21	5	5	9	8	10	12	4	22	5	1	7	6	34	0	11	0	6	0	0	8	805	0	4	13	39	17	40	20	4	4	4	4	3	0	0	2443	0	5867	975	0	0	0	0	88	0	99	0			9472
40	Opslag, dienstverlening voor vervoer	62	0	14	0	1	146	7	4	8	4	8	7	776	301	8	13	12	18	32	70	8	33	10	11	5	4	2	0	0	3	5	1	6	89	621	72	361	167	792	3193	10	2	2	2	0	1	27	0	7	5	12	3	7	42	10	0	5	9	0	13	17	9	1	3	44	212	7	7	7	2	0	0	0	9	0	0	7349	24	4187	249	0	0	0	1586	279	0	3807	0			17481
41	Post en koeriers	22	0	2	3	1	15	2	0	2	2	4	7	4	8	3	4	6	4	11	8	3	13	2	4	3	9	7	14	6	6	29	15	51	45	247	264	47	5	4	28	331	11	24	111	37	109	54	3	260	61	39	135	41	103	38	6	26	17	3	13	31	22	6	11	14	301	83	143	163	27	18	28	2	9	0	0	3190	0	1428	330	0	0	0	0	40	0	4	0			4992
42	Logiesverstrekking	1	0	0	1	0	9	3	1	1	1	1	1	1	4	3	2	1	3	4	5	2	6	1	1	2	3	2	5	1	2	4	3	5	7	68	6	10	3	2	8	0	131	7	7	4	4	5	0	9	4	4	6	11	16	7	4	2	2	0	2	7	79	2	3	3	48	28	58	43	8	12	4	0	4	0	0	707	0	1249	2884	0	42	0	0	24	0	119	0			5025
43	Restaurants en cafés	3	1	0	2	0	15	5	1	2	0	2	3	2	9	4	3	4	3	7	6	5	9	1	4	2	11	3	8	1	3	6	4	10	20	114	32	14	2	259	11	1	6	109	9	9	11	16	1	22	12	5	10	14	33	8	5	4	3	0	4	11	50	3	10	2	113	26	458	333	32	40	32	1	5	0	0	1989	0	1071	10818	0	0	0	0	25	3	280	0			14186
44	Uitgeverijen	4	0	0	3	2	59	12	3	4	4	8	13	3	24	14	10	7	10	22	22	7	25	7	10	9	11	9	18	3	15	23	6	28	37	462	215	46	8	12	31	7	16	28	235	9	52	61	5	90	47	33	61	49	132	27	17	563	17	2	16	71	18	6	9	8	269	325	139	113	43	3	9	3	15	0	4	3708	256	234	1783	0	0	0	0	207	17	131	0			6336
45	Film, TV en radio	1	0	0	0	0	27	17	3	1	0	1	3	0	5	6	3	2	2	3	16	3	3	0	0	2	2	1	2	0	1	4	1	6	20	87	65	1	0	2	1	1	5	8	54	605	26	14	2	26	15	6	20	11	47	8	1	1009	6	0	46	13	14	0	1	6	78	5	5	9	11	5	5	0	1	0	1	2355	35	212	590	860	0	0	0	145	11	45	0			4253
46	Telecommunicatie	73	0	4	8	2	53	6	1	9	7	10	28	5	30	13	16	15	8	43	32	8	47	7	12	12	21	24	35	13	16	80	25	151	97	672	339	93	21	4	82	16	31	63	70	91	1343	182	8	609	108	59	266	152	648	90	25	79	46	5	34	72	40	16	30	29	367	140	263	175	137	101	76	8	34	0	0	7535	105	1381	7802	0	0	0	0	420	1	0	0			17244
47	IT-dienstverlening	46	1	3	31	5	177	11	8	10	5	26	30	21	237	69	26	26	29	68	168	21	94	31	23	16	20	42	117	30	44	79	192	288	79	939	180	91	65	9	207	44	49	73	145	47	220	2564	213	253	73	43	94	156	685	149	112	58	37	3	66	181	22	14	36	34	1090	200	169	121	27	12	12	25	23	0	0	10614	237	5689	568	0	0	0	0	3562	35	1008	0			21713
48	Diensten op het gebied van informatie	7	0	0	3	1	17	0	1	2	0	2	2	1	20	4	3	3	2	5	22	5	6	3	2	2	1	4	13	2	6	7	5	9	8	66	30	11	2	3	12	2	2	12	34	23	8	230	26	84	12	5	15	15	33	8	3	4	5	0	6	6	4	3	2	1	110	6	19	10	2	2	3	3	6	0	0	996	7	406	30	0	0	0	0	302	0	15	0			1756
49	Bankwezen	183	1	5	214	11	449	54	26	31	28	62	64	259	427	66	67	58	83	189	340	61	221	50	74	32	50	86	203	21	89	471	199	407	222	1076	673	348	101	89	254	84	81	183	91	72	236	333	19	1235	2946	334	19424	207	621	196	49	94	61	2	132	209	88	16	80	48	1127	138	397	358	82	91	244	9	42	0	0	36673	0	8977	4013	0	15	0	1	282	0	0	0			49961
50	Verzekeraars en pensioenfondsen	91	1	5	4	0	22	3	1	4	3	2	6	8	13	3	5	5	3	14	6	2	13	2	1	4	6	5	13	1	10	19	8	29	65	581	272	109	30	14	32	37	13	28	6	5	14	18	2	105	967	37	631	28	43	15	7	8	5	2	129	13	3	2	6	3	2051	12	22	27	5	13	4	2	10	0	0	5688	0	1467	12769	0	25	0	0	351	0	0	0			20300
51	Overige financiële dienstverlening	9	0	0	5	0	18	1	2	1	0	2	2	3	11	1	2	5	5	2	3	3	4	2	4	0	3	2	2	2	5	3	3	8	7	34	11	8	1	2	4	3	3	4	2	1	4	2	0	1509	3599	11	24	7	15	1	1	1	0	0	17	3	1	1	1	1	0	2	45	36	4	1	18	0	9	0	0	5506	0	246	162	0	0	0	0	106	0	0	0			6020
