		huidige situatie (2010)					verandering			situatie na realiseren kansen							
ID		# (000)	onder 	boven	€		? #	? €/stuk		# (000)	onder 	boven		€	? €	? € na TW corr	
		18610.50956	163.2203669	288.3854407	4202307.1		0.01	-0.02		18610.50956	159.9559596	282.6177318	0	4118260.958	-84046.14199	0	1
		4547.74925	188.6321936	311.5827022	1137425.959		0.01	-0.02		4547.74925	184.8595498	305.3510481	0	1114677.439	-22748.51917	0	1
		921.9920819	210.6913221	327.5516199	248127.8654		0.01	-0.02		921.9920819	206.4774957	321.0005875	0	243165.3081	-4962.557307	0	1
		1183.181795	252.4925841	398.0791474	384872.3144		0.01	-0.02		1183.181795	247.4427324	390.1175644	0	377174.8681	-7697.446288	0	1
		1192.843387	217.4564989	403.2381831	370195.7733		0.01	-0.02		1192.843387	213.1073689	395.1734195	0	362791.8579	-7403.915466	0	1
		692.8919129	474.3571336	800.9907313	441839.1108		0.01	-0.02		692.8919129	464.8699909	784.9709166	0	433002.3286	-8836.782217	0	1
		4233.984381	777.3110416	1265.238489	4324061.405		0.01	-0.02		4233.984381	761.7648207	1239.933719	0	4237580.177	-86481.22809	0	1
																	
4	1-18	44444.44444	-1.597444089	0.098949511	-33299.87952		0.01	-0.01		44888.88889	-1.581469649	0.097960016	444.4444444	-33296.54953	3.329987952	3.329987952	2
	Recycling	2020	-16.1341853	11.11570996	-5068.660095		0.01	-0.01		2040.2	-15.97284345	11.00455286	20.2	-5068.153229	0.50686601	0.50686601	2
		952.3809524	-7.987220447	28.68693506	9857.006957		0.01	-0.01		961.9047619	-7.907348243	28.40006571	9.523809524	9856.021256	-0.985700696	-0.985700696	2
		9000	-21.56549521	4.911302514	-74943.86712		0.01	-0.01		9090	-21.34984026	4.862189489	90	-74936.37273	7.494386712	7.494386712	2
		750	-11.98083067	61.50474387	18571.46745		0.01	-0.01		757.5	-11.86102236	60.88969643	7.5	18569.6103	-1.857146745	-1.857146745	2
		8080	-16.1341853	7.862072621	-33419.33524		0.01	-0.01		8160.8	-15.97284345	7.783451895	80.8	-33415.9933	3.341933524	3.341933524	2
		595.2380952	-9.984025559	126.61251	34710.85847		0.01	-0.01		601.1904762	-9.884185304	125.3463849	5.952380952	34707.38738	-3.471085847	-3.471085847	2
		3600	-7.188498403	21.80532287	26310.28405		0.01	-0.01		3636	-7.116613419	21.58726965	36	26307.65302	-2.631028405	-2.631028405	2
		564.7058824	-19.16932907	144.0627284	35264.01864		0.01	-0.01		570.3529412	-18.97763578	142.6221011	5.647058824	35260.49224	-3.526401864	-3.526401864	2
		2266.666667	-13.57827476	37.38297454	26978.65975		0.01	-0.01		2289.333333	-13.44249201	37.00914479	22.66666667	26975.96188	-2.697865975	-2.697865975	2
		16666.66667	-19.96805112	6.266448396	-114180.0227		0.01	-0.01		16833.33333	-19.76837061	6.203783912	166.6666667	-114168.6047	11.41800227	11.41800227	2
		4000	-12.77955272	28.21046432	30861.82321		0.01	-0.01		4040	-12.65175719	27.92835968	40	30858.73703	-3.086182321	-3.086182321	2
